"pos"	"cepa"	"feromona"	"well"	"foto"
1	5099.1	0	1	1
2	5099.1	0	1	2
3	5099.1	0	2	1
4	5099.1	0	2	2
5	5531	0	1	1
6	5531	0	1	2
7	5531	0	2	1
8	5531	0	2	2
9	5099.1	1.25	1	1
10	5099.1	1.25	1	2
11	5531	1.25	2	1
12	5531	1.25	2	2
13	5099.1	1.25	1	1
14	5099.1	1.25	1	2
15	5531	1.25	2	1
16	5531	1.25	2	2
17	5099.1	2.5	1	1
18	5099.1	2.5	1	2
19	5531	2.5	2	1
20	5531	2.5	2	2
21	5099.1	2.5	1	1
22	5099.1	2.5	1	2
23	5531	2.5	2	1
24	5531	2.5	2	2
25	5099.1	5	1	1
26	5099.1	5	1	2
27	5099.1	5	2	1
28	5099.1	5	2	2
29	5531	5	1	1
30	5531	5	1	2
31	5531	5	2	1
32	5531	5	2	2
33	5099.1	10	1	1
34	5099.1	10	1	2
35	5531	10	2	1
36	5531	10	2	2
37	5099.1	10	1	1
38	5099.1	10	1	2
39	5531	10	2	1
40	5531	10	2	2
41	5099.1	200	1	1
42	5099.1	200	1	2
43	5531	200	2	1
44	5531	200	2	2
45	5099.1	200	1	1
46	5099.1	200	1	2
47	5531	200	2	1
48	5531	200	2	2
